DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2009-2010 Regular Season,02/18/10,Denver,Road,31,21,23,31,12,,,,118,265,46,100,5,16,21,26,16,32,48,25,26,7,5,8,118,100.1,90.6,117.9,115.9,3+,C.Anthony,K.Martin,N.Hilario,A.Afflalo,C.Billups,James Capers,Monty McCutchen,206,6,206,06.5 / 206 / 206.5,207,240,,,
2009-2010 Regular Season,02/18/10,Cleveland,Home,21,23,35,27,10,,,,116,265,43,86,7,23,23,40,9,35,44,26,21,4,11,9,116,100.1,90.6,115.9,117.9,3+,L.James,J.Hickson,S.O`Neal,A.Parker,D.Gibson,,Mark Lindsay,-6 -05,-6,206,7  / -6.5  / -7,-6.5,-280,,Boxscore,Odds
2009-2010 Regular Season,02/18/10,Boston,Road,30,23,23,11,,,,,87,240,37,84,5,15,8,13,8,35,43,21,18,5,11,7,87,91.0,91.0,95.6,94.5,1,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,Bob Delaney,Rodney Mott,189.5,4,189.5,89.5 / 189,188.5,125,,,
2009-2010 Regular Season,02/18/10,LA Lakers,Home,27,21,21,17,,,,,86,240,33,82,4,16,16,25,12,38,50,14,20,6,12,8,86,91.0,91.0,94.5,95.6,1,R.Artest,P.Gasol,A.Bynum,S.Brown,D.Fisher,,Leroy Richardson,-4,-4,189.5,3  / -3.5  / -3,-2.5,-145,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Cleveland,Road,32,18,18,25,,,,,93,240,32,82,12,29,17,25,9,28,37,15,18,10,10,4,93,91.4,91.4,101.7,120.3,B2B,L.James,J.Hickson,S.O`Neal,A.Parker,M.Williams,Bill Kennedy,Marc Davis,-4,-4,191.5,5 -05 / -4.5 -05 / -5 -05,-4.5 -05,-210,,,
2009-2010 Regular Season,02/19/10,Charlotte,Home,27,23,32,28,,,,,110,240,41,75,9,19,19,25,8,39,47,27,21,3,14,10,110,91.4,91.4,120.3,101.7,2,G.Wallace,B.Diaw,N.Mohammed,S.Jackson,R.Felton,,Kane Fitzgerald,191.5,4,191.5,91.5 / 191,191.5,175,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,San Antonio,Road,26,26,24,18,,,,,94,240,36,86,5,21,17,19,11,28,39,21,20,6,12,0,94,94.0,94.0,100.0,112.7,1,K.Bogans,T.Duncan,M.Bonner,G.Hill,T.Parker,Ron Garretson,Pat Fraher,-3,-3,192.5,3 -05 / -3.5 -05 / -3 -05,-3.5 -05,-165,,,
2009-2010 Regular Season,02/19/10,Philadelphia,Home,25,20,28,33,,,,,106,240,42,82,2,8,20,23,8,37,45,25,16,8,13,7,106,94.0,94.0,112.7,100.0,2,A.Iguodala,E.Brand,S.Dalembert,A.Iverson,J.Holiday,,Mark Lindsay,192.5,3,192.5,92 / 191.5 / 192.5,191.5,145,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Denver,Road,25,35,22,15,,,,,97,240,32,72,4,13,29,37,9,31,40,12,21,5,12,2,97,90.5,90.5,107.2,118.2,B2B,C.Anthony,K.Martin,N.Hilario,A.Afflalo,C.Billups,Joe DeRosa,Kevin Fehr,-7,-7,208.5,6  / -6 -05 / -5.5 -05,-6 -05,-260,,,
2009-2010 Regular Season,02/19/10,Washington,Home,28,24,21,34,,,,,107,240,40,87,5,14,22,25,14,33,47,22,25,6,10,9,107,90.5,90.5,118.2,107.2,1,M.Miller,A.Blatche,J.McGee,J.Howard,R.Foye,,David Guthrie,208.5,7,208.5,08.5 / 208 / 208.5,209,220,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Milwaukee,Road,23,27,22,19,,,,,91,240,31,81,9,24,20,26,12,28,40,19,17,10,14,6,91,89.1,89.1,102.2,95.4,1,C.Delfino,L.Mbah a Moute,A.Bogut,C.Bell,B.Jennings,Dick Bavetta,Phil Robinson,189.5,0,189.5,K,-1 -05,-104,,,
2009-2010 Regular Season,02/19/10,Detroit,Home,29,17,19,20,,,,,85,240,33,68,1,6,18,20,5,32,37,23,21,6,17,8,85,89.1,89.1,95.4,102.2,3IN4,T.Prince,J.Jerebko,B.Wallace,R.Hamilton,R.Stuckey,,Gary Zielinski,PK,0,189.5,89.5 / 189,188,-106,,Boxscore,Odds
